"ref","plate_assay1","duration_feeding_assay1","feedingRate_assay1","body_assay1","spine_assay1","day_assay1","plate_assay2","duration_feeding_assay2","feedingRate_assay2","body_assay2","spine_assay2","day_assay2"
"k-m-_c1_2.5",2,6.96305555555556,0.154415461507369,1.0322060128,0.345282774,7,NA,NA,NA,NA,NA,NA
"k+m+_w2_1.2",2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"k+m-_m37_2.3",2,6.93138888888889,0.00846167996979642,0.9022210048,0.1456439302,7,NA,NA,NA,NA,NA,NA
"k+m-_w2_1.3",2,8.74583333333333,0.216663225847623,1.0122505028,0.3334347662,8,2,7.28861111111111,0.383803189213095,1.5326312502,0.1395447044,14
"k+m+_w2_2.2",2,6.8925,0.0466552218128853,1.2879932584,0.3976023544,7,NA,NA,NA,NA,NA,NA
"k-m-_c1_1.7",2,8.72333333333333,0.391028550774201,1.2870965622,0.4404322916,8,1,7.82888888888889,0.110575098889601,1.5767464528,0.4572582676,14
"k-m-_c1_2.8",2,6.86777777777778,0.704287613813122,1.2866415974,0.3936593854,7,NA,NA,NA,NA,NA,NA
"k-m-_c1_1.10",2,8.70305555555556,0.210820548887173,0.8736664518,0.4021333334,8,1,NA,NA,NA,NA,14
"k+m+_c1_1.9",2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"k+m+_m37_2.2",2,6.83111111111111,-0.450941274545586,1.1650505528,0.3586992318,7,NA,NA,NA,NA,NA,NA
"k+m-_c1_1.1",2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"k+m+_c1_2.9",2,6.79555555555556,-0.507061910709347,1.0082713896,0.3986743106,7,NA,NA,NA,NA,NA,NA
"k-m-_c1_1.2",2,8.59888888888889,0.332318684116781,1.2922186754,0.4559439954,8,2,6.53111111111111,0.624336829417596,1.5831841844,0.5204026422,14
"k+m-_m37_2.5",2,6.755,0.117051848224564,0.94265115,0.3459770576,7,NA,NA,NA,NA,NA,NA
"k-m-_m37_2.6",2,6.73166666666667,0.347797922232462,1.1316112242,0.3808181614,7,NA,NA,NA,NA,NA,NA
"k+m+_c1_1.1",2,8.56444444444444,0.0707864032625731,0.9655310636,0.1715837564,8,1,8.27611111111111,0.0794471904497579,NA,NA,14
"k-m+_m37_2.1",2,6.705,-0.0424935955172353,1.0381044516,0.363355509,7,NA,NA,NA,NA,NA,NA
"k-m-_w2_1.5",2,8.53861111111111,-0.052942376903923,1.226199097,0.4129779904,8,1,8.24027777777778,0.164586894950801,1.3366442152,0.35490277,14
"k-m-_m37_2.9",2,6.36111111111111,0.377732489434895,1.0961896288,0.3614761376,7,NA,NA,NA,NA,NA,NA
"k-m-_c1_1.5",2,8.51694444444444,0.0344344327778845,1.3726712704,0.4888255654,8,2,7.10083333333333,0.426838208385813,1.5691953376,0.4142047596,14
"k+m-_c1_1.4",2,9.5125,NA,1.0851121808,0.2881522812,8,NA,NA,NA,NA,NA,NA
"k-m+_m37_2.3",2,6.65972222222222,-0.0258154919480051,0.7786489634,0.3325462996,7,NA,NA,NA,NA,NA,NA
"k+m-_m37_1.2",2,8.47611111111111,0.0502112511986843,0.9386113308,0.361390946,8,1,7.51555555555556,0.347765061680909,1.40971524,0.363160818,14
"k-m-_c1_2.1",2,6.63277777777778,0.0904869901225022,1.1389242398,0.4186955304,7,NA,NA,NA,NA,NA,NA
"k-m-_c1_1.9",2,8.45166666666667,0.0924288455104932,1.2290212148,0.4463052796,8,1,7.70277777777778,0.31366037178298,1.3199911116,0.2348741556,14
"k-m+_w2_2.3",2,6.61027777777778,0.225928914900345,0.8649838174,0.2800284214,7,NA,NA,NA,NA,NA,NA
"k+m+_m37_2.1",2,6.59,0.140791704781436,1.3178856294,0.400806031,7,NA,NA,NA,NA,NA,NA
"k+m-_c1_1.3",2,8.42805555555556,0.242028605804187,1.1342851838,0.430663604,8,2,7.33472222222222,0.265640291817795,1.412156688,0.4902454254,14
"k-m+_c1_2.8",2,6.31944444444444,-0.422890662500319,1.0672039362,0.1030317218,7,NA,NA,NA,NA,NA,NA
"k-m-_c1_2.7",2,6.53833333333333,0.164446103050609,1.1637284828,0.3722643812,7,NA,NA,NA,NA,NA,NA
"k-m+_m37_2.7",2,6.51333333333333,0.30316970864358,1.1089381428,0.4139768708,7,NA,NA,NA,NA,NA,NA
"k-m+_w2_1.5",2,8.40333333333333,-0.00697951541340516,0.7970953832,0.3034769648,8,1,8.06416666666667,0.410900654278528,1.21926731,0.3671009676,14
"k-m-_m37_2.5",2,6.48722222222222,0.757788534134269,0.9058885108,0.3165299486,7,NA,NA,NA,NA,NA,NA
"k+m+_c1_2.4",2,6.46777777777778,0.254732365175142,1.1916772458,0.385719701,7,NA,NA,NA,NA,NA,NA
"k+m+_m37_2.9",2,6.44833333333333,-0.184836160142339,1.3527568576,0.404995507,7,NA,NA,NA,NA,NA,NA
"k+m-_w2_2.2",2,6.42638888888889,0.193551498109292,1.1168908828,0.2175033496,7,NA,NA,NA,NA,NA,NA
