"ref","date","variable","value_mean","n_obs","range","range_prop","check"
"k+m-_w2_6.1","2022-12-19","body",1.2973582638,1,0,0,FALSE
"k+m-_w2_6.1","2022-12-19","spine",0.1623314508,1,0,0,FALSE
"k+m-m37_2.4","2022-11-07","body",1.2441512582,1,0,0,FALSE
"k+m-m37_2.4","2022-11-07","spine",0.3459651704,1,0,0,FALSE
"k+m_m37_5.3","2022-12-11","body",1.2230484556,1,0,0,FALSE
"k+m_m37_5.3","2022-12-11","spine",0.3818145018,1,0,0,FALSE
"k--m-_c1_1.3","2022-11-03","body",1.3214903974,1,0,0,FALSE
"k--m-_c1_1.3","2022-11-03","spine",0.4812368836,1,0,0,FALSE
"k-m+_c1_1.1","2022-11-03","body",1.0216034178,1,0,0,FALSE
"k-m+_c1_1.1","2022-11-03","spine",0.327683241,1,0,0,FALSE
"k-m+_c1_1.1","2022-11-09","body",1.2595566122,1,0,0,FALSE
"k-m+_c1_1.1","2022-11-09","spine",0.4476290006,1,0,0,FALSE
"k-m+_c1_1.10","2022-11-03","body",0.8423258236,1,0,0,FALSE
"k-m+_c1_1.10","2022-11-03","spine",0.351471103,1,0,0,FALSE
"k-m+_c1_1.10","2022-11-09","body",1.2684039402,1,0,0,FALSE
"k-m+_c1_1.10","2022-11-09","spine",0.3383045558,1,0,0,FALSE
"k-m+_c1_1.16","2022-11-09","body",1.520507246,1,0,0,FALSE
"k-m+_c1_1.16","2022-11-09","spine",0.4611317676,1,0,0,FALSE
"k-m+_c1_1.18","2022-11-09","body",1.4136675816,1,0,0,FALSE
"k-m+_c1_1.18","2022-11-09","spine",0.4566950226,1,0,0,FALSE
"k-m+_c1_1.2","2022-11-03","body",1.149580505,1,0,0,FALSE
"k-m+_c1_1.2","2022-11-03","spine",0.4518317862,1,0,0,FALSE
"k-m+_c1_1.2","2022-11-09","body",1.4048067154,1,0,0,FALSE
"k-m+_c1_1.2","2022-11-09","spine",0.494650141,1,0,0,FALSE
"k-m+_c1_1.4","2022-11-03","body",0.9613769698,1,0,0,FALSE
"k-m+_c1_1.4","2022-11-03","spine",0.2707842438,1,0,0,FALSE
"k-m+_c1_1.4","2022-11-09","body",1.3587162564,1,0,0,FALSE
"k-m+_c1_1.4","2022-11-09","spine",0.4367706276,1,0,0,FALSE
"k-m+_c1_1.5","2022-11-03","body",1.1652340678,1,0,0,FALSE
"k-m+_c1_1.5","2022-11-03","spine",0.1008799608,1,0,0,FALSE
