"ref","treatment","clone","kairomone","metsch","block","rep","fate","day_fate","infectionFate","day_infection","day_clutch1","r1"
"k+m+_m37_5.2","k+m+","m37",TRUE,TRUE,5,2,"alive",21,FALSE,NA,17,0.06462425
"k+m+_m37_5.3","k+m+","m37",TRUE,TRUE,5,3,"lost",9,FALSE,NA,NA,0
"k+m+_m37_5.4","k+m+","m37",TRUE,TRUE,5,4,"missing",7,FALSE,NA,NA,0
"k+m+_w2_5.1","k+m+","w2",TRUE,TRUE,5,1,"alive",21,FALSE,NA,14,0.11235901
"k-m-_c1_6.1","k-m-","c1",FALSE,FALSE,6,1,"dead",2,FALSE,NA,NA,0
"k-m-_c1_6.2","k-m-","c1",FALSE,FALSE,6,2,"dead",5,FALSE,NA,NA,0
"k-m-_c1_6.3","k-m-","c1",FALSE,FALSE,6,3,"alive",21,FALSE,NA,16,0.08589701
"k-m-_c1_6.4","k-m-","c1",FALSE,FALSE,6,4,"dead",7,FALSE,NA,NA,0
"k-m-_c1_6.5","k-m-","c1",FALSE,FALSE,6,5,"dead",5,FALSE,NA,NA,0
"k-m-_m37_6.1","k-m-","m37",FALSE,FALSE,6,1,"alive",21,FALSE,NA,14,0.09901781
"k-m-_m37_6.2","k-m-","m37",FALSE,FALSE,6,2,"alive",21,FALSE,NA,21,0.08532188
